label,region,sendCount,winCount
Healthy-baseline,West US 2,2000,2000
Degraded-P100-HEDGE_ON,East US,8,8
Degraded-P100-HEDGE_ON,West US 2,100,92
Degraded-P100-HEDGE_OFF,West US 2,100,100
Degraded-P10000-HEDGE_ON,East US,800,800
Degraded-P10000-HEDGE_ON,West US 2,10000,9200
Degraded-P10000-HEDGE_OFF,West US 2,10000,10000
Degraded-P50000-HEDGE_ON,East US,4054,4054
Degraded-P50000-HEDGE_ON,West US 2,50000,45946
Degraded-P50000-HEDGE_OFF,West US 2,50000,50000
Degraded-P100-REALTIME-HEDGE_ON,East US,56,56
Degraded-P100-REALTIME-HEDGE_ON,West US 2,100,44
