scenario,arm,phase,ops,metaRefreshes,hedges,budgetExhausted,p50Ms,p99Ms,maxMs
S1-Healthy,main,ColdStart,200,200,0,0,67.66,98.55,108.00
S1-Healthy,main,Ok,1500,0,0,0,16.03,45.22,45.42
S1-Healthy,PR,ColdStart,200,200,0,179,64.41,102.59,102.64
S1-Healthy,PR,Ok,1500,0,0,0,16.43,35.30,45.59
S2-BadColdStart,main,ColdStart,200,200,0,0,1621.62,2083.48,2129.25
S2-BadColdStart,main,Ok,1500,0,0,0,16.00,45.36,46.95
S2-BadColdStart,PR,ColdStart,200,200,116,138,1166.86,1972.32,2031.89
S2-BadColdStart,PR,Ok,1500,0,0,0,16.06,32.05,45.22
S3-BadCold+Degraded,main,ColdStart,200,200,0,0,1648.52,2064.24,2124.82
S3-BadCold+Degraded,main,Ok,1500,0,0,0,16.06,31.88,46.43
S3-BadCold+Degraded,main,Degraded,3000,924,0,0,124.46,1110.78,1145.37
S3-BadCold+Degraded,PR,ColdStart,200,200,121,140,1173.79,1953.80,2039.36
S3-BadCold+Degraded,PR,Ok,1500,0,0,0,16.01,46.27,46.48
S3-BadCold+Degraded,PR,Degraded,3000,924,543,381,124.28,1081.54,1141.59
S4-GoodCold+Degraded,main,ColdStart,200,200,0,0,62.36,93.33,101.09
S4-GoodCold+Degraded,main,Ok,1500,0,0,0,15.95,31.60,31.82
S4-GoodCold+Degraded,main,Degraded,3000,924,0,0,124.16,1111.52,1149.13
S4-GoodCold+Degraded,PR,ColdStart,200,200,0,186,70.97,93.41,93.53
S4-GoodCold+Degraded,PR,Ok,1500,0,0,0,16.03,31.75,45.67
S4-GoodCold+Degraded,PR,Degraded,3000,924,547,377,124.11,1079.58,1142.60
